Text,Href,URL
HDFS-14521,https://issues.apache.org/jira/browse/HDFS-14521,https://github.com/apache/hadoop/blob/rel/release-2.10.0/hadoop-hdfs-project/hadoop-hdfs/src/main/java/org/apache/hadoop/hdfs/server/namenode/FSDirAttrOp.java
HDFS-14205,https://issues.apache.org/jira/browse/HDFS-14205,https://github.com/apache/hadoop/blob/rel/release-2.10.0/hadoop-hdfs-project/hadoop-hdfs/src/main/java/org/apache/hadoop/hdfs/server/namenode/ha/BootstrapStandby.java
YARN-8893,https://issues.apache.org/jira/browse/YARN-8893,https://github.com/apache/hadoop/blob/rel/release-2.10.0/hadoop-yarn-project/hadoop-yarn/hadoop-yarn-server/hadoop-yarn-server-common/src/main/java/org/apache/hadoop/yarn/server/uam/UnmanagedApplicationManager.java
YARN-8155,https://issues.apache.org/jira/browse/YARN-8155,https://github.com/apache/hadoop/blob/rel/release-2.10.0/hadoop-yarn-project/hadoop-yarn/hadoop-yarn-server/hadoop-yarn-server-nodemanager/src/main/java/org/apache/hadoop/yarn/server/nodemanager/timelineservice/NMTimelinePublisher.java
HDFS-15197,https://issues.apache.org/jira/browse/HDFS-15197,https://github.com/apache/hadoop/blob/rel/release-2.10.1/hadoop-hdfs-project/hadoop-hdfs-client/src/main/java/org/apache/hadoop/hdfs/server/namenode/ha/ObserverReadProxyProvider.java
YARN-8459,https://issues.apache.org/jira/browse/YARN-8459,https://github.com/apache/hadoop/blob/rel/release-2.10.1/hadoop-yarn-project/hadoop-yarn/hadoop-yarn-server/hadoop-yarn-server-resourcemanager/src/main/java/org/apache/hadoop/yarn/server/resourcemanager/scheduler/capacity/CapacityScheduler.java
YARN-8459,https://issues.apache.org/jira/browse/YARN-8459,https://github.com/apache/hadoop/blob/rel/release-2.10.1/hadoop-yarn-project/hadoop-yarn/hadoop-yarn-server/hadoop-yarn-server-resourcemanager/src/main/java/org/apache/hadoop/yarn/server/resourcemanager/scheduler/capacity/ParentQueue.java
YARN-8459,https://issues.apache.org/jira/browse/YARN-8459,https://github.com/apache/hadoop/blob/rel/release-2.10.1/hadoop-yarn-project/hadoop-yarn/hadoop-yarn-server/hadoop-yarn-server-resourcemanager/src/main/java/org/apache/hadoop/yarn/server/resourcemanager/scheduler/capacity/allocator/AbstractContainerAllocator.java
HDFS-15665,https://issues.apache.org/jira/browse/HDFS-15665,https://github.com/apache/hadoop/blob/rel/release-2.10.2/hadoop-hdfs-project/hadoop-hdfs/src/main/java/org/apache/hadoop/hdfs/server/balancer/Dispatcher.java
HDFS-9600,https://issues.apache.org/jira/browse/HDFS-9600,https://github.com/apache/hadoop/blob/rel/release-2.6.4/hadoop-hdfs-project/hadoop-hdfs/src/main/java/org/apache/hadoop/hdfs/server/blockmanagement/BlockManager.java
MAPREDUCE-6363,https://issues.apache.org/jira/browse/MAPREDUCE-6363,https://github.com/apache/hadoop/blob/rel/release-2.6.4/hadoop-mapreduce-project/hadoop-mapreduce-client/hadoop-mapreduce-client-jobclient/src/test/java/org/apache/hadoop/hdfs/NNBench.java
HADOOP-12789,https://issues.apache.org/jira/browse/HADOOP-12789,https://github.com/apache/hadoop/blob/rel/release-2.6.5/hadoop-common-project/hadoop-common/src/main/java/org/apache/hadoop/util/ApplicationClassLoader.java
HDFS-10377,https://issues.apache.org/jira/browse/HDFS-10377,https://github.com/apache/hadoop/blob/rel/release-2.6.5/hadoop-hdfs-project/hadoop-hdfs/src/main/java/org/apache/hadoop/hdfs/server/blockmanagement/CacheReplicationMonitor.java
HADOOP-12464,https://issues.apache.org/jira/browse/HADOOP-12464,https://github.com/apache/hadoop/blob/rel/release-2.7.2/hadoop-common-project/hadoop-common/src/main/java/org/apache/hadoop/ipc/Client.java
HDFS-9574,https://issues.apache.org/jira/browse/HDFS-9574,https://github.com/apache/hadoop/blob/rel/release-2.7.2/hadoop-hdfs-project/hadoop-hdfs/src/main/java/org/apache/hadoop/hdfs/DFSInputStream.java
HDFS-9289,https://issues.apache.org/jira/browse/HDFS-9289,https://github.com/apache/hadoop/blob/rel/release-2.7.2/hadoop-hdfs-project/hadoop-hdfs/src/main/java/org/apache/hadoop/hdfs/server/blockmanagement/BlockManager.java
HDFS-8676,https://issues.apache.org/jira/browse/HDFS-8676,https://github.com/apache/hadoop/blob/rel/release-2.7.2/hadoop-hdfs-project/hadoop-hdfs/src/main/java/org/apache/hadoop/hdfs/server/datanode/BlockPoolSliceStorage.java
HDFS-8659,https://issues.apache.org/jira/browse/HDFS-8659,https://github.com/apache/hadoop/blob/rel/release-2.7.2/hadoop-hdfs-project/hadoop-hdfs/src/main/java/org/apache/hadoop/hdfs/server/datanode/BlockScanner.java
HDFS-8850,https://issues.apache.org/jira/browse/HDFS-8850,https://github.com/apache/hadoop/blob/rel/release-2.7.2/hadoop-hdfs-project/hadoop-hdfs/src/main/java/org/apache/hadoop/hdfs/server/datanode/VolumeScanner.java
HADOOP-13103,https://issues.apache.org/jira/browse/HADOOP-13103,https://github.com/apache/hadoop/blob/rel/release-2.7.3/hadoop-common-project/hadoop-common/src/main/java/org/apache/hadoop/security/UserGroupInformation.java
HADOOP-12789,https://issues.apache.org/jira/browse/HADOOP-12789,https://github.com/apache/hadoop/blob/rel/release-2.7.3/hadoop-common-project/hadoop-common/src/main/java/org/apache/hadoop/util/ApplicationClassLoader.java
HDFS-9906,https://issues.apache.org/jira/browse/HDFS-9906,https://github.com/apache/hadoop/blob/rel/release-2.7.3/hadoop-hdfs-project/hadoop-hdfs/src/main/java/org/apache/hadoop/hdfs/server/blockmanagement/BlockManager.java
HDFS-10377,https://issues.apache.org/jira/browse/HDFS-10377,https://github.com/apache/hadoop/blob/rel/release-2.7.3/hadoop-hdfs-project/hadoop-hdfs/src/main/java/org/apache/hadoop/hdfs/server/blockmanagement/CacheReplicationMonitor.java
HDFS-9569,https://issues.apache.org/jira/browse/HDFS-9569,https://github.com/apache/hadoop/blob/rel/release-2.7.3/hadoop-hdfs-project/hadoop-hdfs/src/main/java/org/apache/hadoop/hdfs/server/namenode/FSImage.java
MAPREDUCE-6656,https://issues.apache.org/jira/browse/MAPREDUCE-6656,https://github.com/apache/hadoop/blob/rel/release-2.7.3/hadoop-mapreduce-project/hadoop-mapreduce-client/hadoop-mapreduce-client-jobclient/src/test/java/org/apache/hadoop/hdfs/NNBench.java
HDFS-11742,https://issues.apache.org/jira/browse/HDFS-11742,https://github.com/apache/hadoop/blob/rel/release-2.7.4/hadoop-hdfs-project/hadoop-hdfs/src/main/java/org/apache/hadoop/hdfs/server/balancer/Dispatcher.java
HDFS-9710,https://issues.apache.org/jira/browse/HDFS-9710,https://github.com/apache/hadoop/blob/rel/release-2.7.4/hadoop-hdfs-project/hadoop-hdfs/src/main/java/org/apache/hadoop/hdfs/server/datanode/BPServiceActor.java
YARN-5195,https://issues.apache.org/jira/browse/YARN-5195,https://github.com/apache/hadoop/blob/rel/release-2.7.5/hadoop-yarn-project/hadoop-yarn/hadoop-yarn-server/hadoop-yarn-server-resourcemanager/src/main/java/org/apache/hadoop/yarn/server/resourcemanager/scheduler/capacity/CapacityScheduler.java
YARN-6959,https://issues.apache.org/jira/browse/YARN-6959,https://github.com/apache/hadoop/blob/rel/release-2.7.5/hadoop-yarn-project/hadoop-yarn/hadoop-yarn-server/hadoop-yarn-server-resourcemanager/src/main/java/org/apache/hadoop/yarn/server/resourcemanager/scheduler/fair/FairScheduler.java
HDFS-13486,https://issues.apache.org/jira/browse/HDFS-13486,https://github.com/apache/hadoop/blob/rel/release-2.7.7/hadoop-hdfs-project/hadoop-hdfs/src/main/java/org/apache/hadoop/hdfs/server/namenode/LeaseManager.java
